prompt,seed,sentence,gold,hard,pred,conf,conf_raw,temp
role,1,Higher income was associated with longer life expectancy.,assoc,0,assoc,0.95,0.95,0.7
role,1,The intervention reduced hospital readmissions by 12%.,causal,0,causal,0.95,0.95,0.7
role,1,Patients taking the drug had lower mortality rates.,assoc,1,assoc,0.85,0.85,0.7
role,1,We find that minimum wage increases lead to modest employment losses.,causal,0,causal,0.95,0.95,0.7
role,1,Regions with more doctors report better health outcomes.,assoc,0,assoc,0.8,0.8,0.7
role,1,Randomised assignment to tutoring improved test scores by 0.3 SD.,causal,0,causal,0.9,90.0,0.7
role,1,Test scores correlate strongly with household income.,assoc,0,assoc,0.85,0.85,0.7
role,1,Exposure to lead impairs cognitive development.,causal,0,causal,0.95,0.95,0.7
role,1,Children in older housing show lower cognitive scores.,assoc,0,assoc,0.95,0.95,0.7
role,1,Vitamin D supplementation had no effect on fracture risk.,causal,0,assoc,0.8,0.8,0.7
role,1,Low vitamin D levels predict higher fracture risk.,assoc,0,causal,0.9,90.0,0.7
role,1,Removing the subsidy decreased consumption.,causal,0,causal,0.95,0.95,0.7
role,1,Consumption declined after the subsidy was removed.,assoc,1,causal,0.95,0.95,0.7
role,1,The mutation confers resistance to the antibiotic.,causal,0,causal,1.0,1.0,0.7
role,1,Resistant strains more frequently carry the mutation.,assoc,0,assoc,0.7,0.7,0.7
role,1,Early screening reduces mortality from the disease.,causal,0,assoc,0.8,0.8,0.7
role,1,Screened patients survive longer on average.,assoc,1,assoc,0.8,0.8,0.7
role,1,The fertiliser increased yield in the field trial.,causal,0,assoc,0.85,0.85,0.7
role,1,Yield was higher on fertilised plots.,assoc,1,assoc,0.95,0.95,0.7
